"brokerage","street_address","city","province","postal_code"
"ADANA HOMES A CANADIAN REALTY INC., BROKERAGE","20 Mansfield Circle","Cambridge","ON","N3E 0B6"
"Bosley Real Estate Ltd., Brokerage","100-240 Duke Street West Unit B","Kitchener","ON","N2H 3X6"
"C M A REALTY LTD.","82 Weber Street E 2nd Floor","Kitchener","ON","N2H 1C7"
"CENTURY 21 GREEN REALTY INC","6980 Maritz Dr Unit 8","Mississauga","ON","L5W 1Z3"
"CENTURY 21 RIGHT TIME REAL ESTATE INC.","Unit 1 - 1770 King Street East","Kitchener","ON","N2G 2P1"
"CMI REAL ESTATE INC","2425 Matheson Blvd E 8th Floor","Mississauga","ON","L4W 5K4"
"CONDO CULTURE, BROKERAGE","191 King Street S Unit 101","Waterloo","ON","N2J 1R1"
"Chestnut Park Real Estate Limited, Brokerage","75 King Street South Unit 50","Waterloo","ON","N2J 1P2"
"ComFree","151 Yonge St Unit 1500","Toronto","ON","M5C 2W7"
"Corcoran Horizon Realty","618 King Street W Unit A","Kitchener","ON","N2G 1C8"
"EXP REALTY","4711 Yonge St 10th Floor","Toronto","ON","M2N 6K8"
"Engel & Volkers Waterloo Region","80 King Street South Suite 105","Waterloo","ON","N2J 1P5"
"GRAND WEST REALTY INC., BROKERAGE","53 Linndale Road","Cambridge","ON","N1S 3J6"
"HOMELIFE LANDMARK REALTY INC","7240 Woodbine Ave Unit 103","Markham","ON","L3R 1A4"
"HOMELIFE MIRACLE REALTY LTD","450 Hespeler Road Unit G107-108","Cambridge","ON","N1R 0E3"
"HOMELIFE MIRACLE REALTY LTD.","450 Hespeler Road Unit G107-108","Cambridge","ON","N1R 0E3"
"IQI GLOBAL REAL ESTATE CAMBRIDGE","1156 King Street East","Cambridge","ON","N3H 3P6"
"KELLER WILLIAMS INNOVATION REALTY","640 Riverbend Drive Unit B","Kitchener","ON","N2K 3S2"
"KINDRED HOMES REALTY INC., BROKERAGE","525 Langlaw Drive","Cambridge","ON","N1P 1H8"
"Luxe Home Town Realty Inc","4-845 Main St E","Milton","ON","L9T 3Z3"
"PEAK REALTY LTD.","25 Bruce Street Unit 5B","Kitchener","ON","N2B 1Y4"
"RE/MAX REAL ESTATE CENTRE","720 Westmount Road E","Kitchener","ON","N2E 2M6"
"RE/MAX REAL ESTATE CENTRE INC., BROKERAGE","720 Westmount Road E","Kitchener","ON","N2E 2M6"
"RE/MAX Realty Specialists Inc.","2691 Credit Valley Rd Suite 101","Mississauga","ON","L5M 7A1"
"RE/MAX SOLID GOLD REALTY (II) LTD.","180 Weber Street South","Waterloo","ON","N2J 2B2"
"RE/MAX TWIN CITY FAISAL SUSIWALA REALTY","1400 Bishop Street N","Cambridge","ON","N1R 6W8"
"RE/MAX TWIN CITY REALTY INC.","83 Erb Street W","Waterloo","ON","N2L 6C2"
"RED AND WHITE REALTY INC.","42 Zaduk Court","Conestogo","ON","N0B 1N0"
"ROYAL LEPAGE CERTIFIED REALTY","5618 Tenth Line W Unit 8-9","Mississauga","ON","L5M 7L9"
"ROYAL LEPAGE CROWN REALTY SERVICES","4-471 Hespeler Road","Cambridge","ON","N1R 6J2"
"ROYAL LEPAGE SIGNATURE REALTY","30 Eglinton Ave W Unit 201","Mississauga","ON","L5R 3E7"
"Re/Max Icon Realty","620 Davenport Road Unit 33","Waterloo","ON","N2V 2C2"
"Real Broker Ontario Ltd.","130 King St W Unit 1900B","Toronto","ON","M5X 1E3"
"Right at Home Realty","1396 Don Mills Rd Unit B121","Toronto","ON","M3B 0A7"
"Royal LePage Royal City Realty","30 Edinburgh Road North","Guelph","ON","N1H 7J1"
"Royal LePage Wolle Realty","71 Weber Street E","Kitchener","ON","N2H 1C6"
"SHAW REALTY GROUP INC.","135 George Street N Unit 201","Cambridge","ON","N1S 5C3"
"SMART FROM HOME REALTY LIMITED","619 Wild Ginger Avenue Unit D23","Waterloo","ON","N2V 2X1"
"Sotheby's International Realty Canada","97 Forest Street","Guelph","ON","N1G 1J3"
"THE AGENCY","133 Weber Street N Suite 312","Waterloo","ON","N2J 3G9"
"TrilliumWest Real Estate Brokerage","240 Duke Street W","Kitchener","ON","N2H 3X6"
